thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome,station_code,diagnostic_noise
47.3,133.0,2.4,-1.5,C5,3.0,1.0,1,Z-MPG,0.92414
56.1,118.0,3.3,,C4,2.0,,0,Z-WFJ,1.60785
42.7,104.0,-1.9,-1.7,C2,2.0,0.0,0,,-2.02347
48.5,81.0,3.8,1.6,C3,2.0,1.0,0,Z-RWM,0.13755
42.6,101.0,4.1,4.6,C1,4.0,0.0,1,Z-HQI,-0.64943
47.4,55.0,2.1,0.2,C5,3.0,0.0,1,Z-FDC,1.01127
56.9,137.0,-3.3,-10.2,C5,,,1,Z-JCU,-1.00047
36.3,46.0,5.1,-1.9,C2,5.0,0.0,0,Z-JHR,0.41756
53.6,53.0,0.3,1.2,C1,,0.0,1,Z-KNE,0.84419
52.1,165.0,3.9,-4.0,C5,4.0,1.0,1,Z-DFG,0.97354
45.4,96.0,4.8,1.0,C4,2.0,1.0,0,Z-DCK,1.57967
38.6,84.0,3.3,0.8,C5,3.0,0.0,1,Z-XZF,1.49284
50.7,51.0,0.7,-5.4,C2,2.0,0.0,0,Z-YMK,0.12133
45.9,110.0,2.3,-6.7,C1,3.0,1.0,0,Z-XCM,-1.52932
52.0,127.0,4.4,-2.7,C2,1.0,0.0,1,Z-FON,0.41661
50.3,95.0,,-12.1,C2,3.0,1.0,0,Z-XUV,1.49435
63.0,146.0,4.5,4.9,C4,3.0,0.0,0,Z-YYI,1.17482
48.2,129.0,6.0,,C1,3.0,0.0,0,Z-PNB,-1.991
42.0,101.0,1.2,-3.8,C3,2.0,0.0,0,Z-YUP,
51.6,44.0,3.5,-4.3,C4,2.0,1.0,0,Z-GSO,0.6349
51.9,72.0,0.9,4.1,C1,2.0,0.0,1,Z-JNU,0.55686
,164.0,7.0,6.3,C2,,1.0,0,Z-LCY,0.10574
56.8,114.0,3.4,-1.2,C3,2.0,1.0,0,Z-OOS,0.13216
53.0,108.0,4.2,7.1,C2,4.0,0.0,0,Z-RLW,-0.78088
61.9,98.0,5.8,4.1,C2,3.0,,0,Z-RAE,0.51709
40.6,67.0,4.3,3.5,C3,1.0,1.0,0,Z-LOD,1.76472
45.0,124.0,0.5,-5.6,C1,2.0,0.0,1,Z-YPJ,0.08882
42.7,128.0,5.5,-3.2,C3,3.0,1.0,0,Z-BHH,-1.66717
47.0,117.0,-2.5,-10.5,C4,3.0,1.0,0,Z-HAA,-0.67876
39.1,97.0,2.9,9.8,C1,,0.0,0,Z-NQA,0.52495
55.2,126.0,4.4,-1.3,C1,,1.0,1,Z-XCM,0.55622
48.4,96.0,0.7,-0.7,,5.0,0.0,1,Z-CCU,-0.74835
38.4,48.0,0.5,0.7,C3,,1.0,0,Z-KMX,-0.84761
42.0,48.0,,1.3,C2,2.0,0.0,0,Z-GCB,0.1824
52.7,140.0,-3.9,-5.7,C2,4.0,1.0,1,Z-ZFO,0.28419
,111.0,1.2,-1.3,C3,2.0,1.0,0,Z-VQP,0.16502
66.1,,-0.7,,C2,2.0,1.0,0,Z-OCR,-0.0052
73.5,145.0,-1.8,-7.6,C3,4.0,0.0,0,Z-PGV,-0.01864
53.5,113.0,,0.9,C4,5.0,1.0,1,Z-PCK,-0.69546
42.2,96.0,4.8,-7.2,C2,3.0,1.0,0,Z-UWR,-1.88896
33.1,90.0,5.0,-5.2,,3.0,1.0,1,Z-ZMR,-1.23697
52.3,83.0,-0.9,-7.9,C2,2.0,1.0,0,Z-ROV,-0.38761
43.7,121.0,2.4,4.1,C2,3.0,0.0,0,Z-TQJ,0.76511
46.8,75.0,-2.7,-5.2,,4.0,1.0,0,Z-RWP,-0.8904
45.3,99.0,3.0,3.9,C3,4.0,0.0,0,Z-ZXJ,2.04441
49.0,67.0,5.9,5.2,C3,1.0,1.0,0,Z-GWB,-0.15063
58.7,110.0,-0.8,,C4,1.0,0.0,1,Z-KQM,-0.78968
51.4,85.0,1.4,-4.4,C2,4.0,1.0,1,Z-SSE,0.75199
48.9,99.0,6.6,4.5,C4,3.0,0.0,0,Z-KNG,1.2071
41.9,106.0,0.9,0.2,C1,5.0,0.0,1,Z-DZX,1.49175
36.8,80.0,5.8,12.8,C3,1.0,1.0,0,Z-SDW,0.86536
46.3,147.0,5.1,1.4,C2,5.0,0.0,0,Z-AGD,0.56833
49.7,121.0,1.0,2.4,C1,1.0,0.0,1,Z-CDI,-0.33177
64.3,118.0,-1.2,-3.2,C2,1.0,1.0,0,Z-IOJ,0.19546
51.2,100.0,2.5,-2.4,C1,5.0,0.0,1,Z-ZMZ,0.32295
58.0,124.0,4.2,5.8,C1,3.0,0.0,0,Z-EDK,-0.6856
46.2,113.0,5.1,10.9,C2,2.0,1.0,0,Z-XJN,0.45173
40.7,,4.1,3.1,C5,3.0,1.0,1,Z-SST,-1.81231
42.4,105.0,5.3,0.1,C4,2.0,0.0,0,Z-PKY,-0.66522
44.4,58.0,-2.2,-1.5,C5,5.0,0.0,1,Z-HVZ,-0.4457
67.2,144.0,1.7,1.0,C1,4.0,0.0,0,Z-EMA,0.06012
43.6,119.0,0.5,,C1,4.0,1.0,0,Z-AXU,0.45762
56.9,120.0,3.8,4.9,C1,2.0,0.0,0,Z-JZJ,0.38115
42.9,26.0,4.7,-1.5,C3,1.0,0.0,0,Z-UND,0.30301
57.6,65.0,1.7,5.2,C5,4.0,1.0,1,Z-YUF,-1.4374
53.2,121.0,2.1,3.5,C2,1.0,1.0,0,Z-YYB,2.17028
48.9,32.0,1.6,3.8,C2,1.0,1.0,0,Z-CEV,
49.8,116.0,3.5,3.4,C1,3.0,1.0,1,Z-SJM,1.22755
44.9,118.0,,5.5,C3,4.0,,0,,0.26381
53.7,137.0,-0.7,-0.4,C4,3.0,0.0,1,Z-YJD,0.15411
46.5,88.0,5.4,2.0,C3,3.0,1.0,0,,
40.3,96.0,8.4,6.3,C3,5.0,0.0,1,Z-UTK,-0.05716
39.9,89.0,,3.5,C2,2.0,0.0,1,Z-HDG,-1.59635
51.5,63.0,-2.3,-2.2,C2,1.0,1.0,0,Z-YXQ,-0.36315
62.8,142.0,5.6,3.6,C2,2.0,1.0,0,Z-BKL,2.18933
51.4,140.0,2.0,-1.2,C4,3.0,1.0,0,Z-RCM,0.67916
49.2,117.0,1.6,-0.9,C3,4.0,1.0,0,Z-NDN,-0.58344
52.4,91.0,4.4,2.3,C1,3.0,0.0,1,Z-UNJ,-0.40891
60.6,138.0,-0.7,-9.7,C2,3.0,0.0,0,Z-HGA,-0.48609
51.9,138.0,5.9,7.9,C1,3.0,0.0,0,,-0.18399
46.9,126.0,-0.7,-0.8,C1,3.0,0.0,1,Z-MFG,1.29691
59.0,143.0,0.8,-3.5,C1,2.0,1.0,0,Z-DAZ,0.49047
53.6,63.0,1.4,2.1,C4,1.0,0.0,1,Z-AHC,-0.54345
62.5,132.0,4.2,-0.1,C1,2.0,0.0,0,Z-ICU,-2.16916
51.6,120.0,-0.5,-4.2,C5,2.0,1.0,1,Z-HTZ,1.65544
40.4,112.0,-1.1,-1.0,C1,2.0,0.0,1,Z-QVD,1.11059
,96.0,2.2,6.4,C2,2.0,0.0,0,Z-XSP,-0.04447
63.4,165.0,2.3,1.6,C4,3.0,1.0,0,Z-IYM,0.36099
64.0,74.0,3.8,-1.6,C1,3.0,0.0,1,Z-TQQ,-0.40081
48.7,113.0,-2.6,-5.4,C4,2.0,1.0,1,Z-WOS,-0.67046
47.1,108.0,2.0,3.8,C3,2.0,0.0,0,Z-ISH,2.44235
61.9,144.0,5.3,4.8,C1,1.0,1.0,0,Z-BGZ,
41.3,127.0,-3.8,,C5,4.0,0.0,1,Z-VCV,-0.30026
43.0,,4.5,4.0,C1,3.0,0.0,1,Z-DZH,0.42037
55.3,150.0,-0.4,1.3,C1,4.0,0.0,1,Z-YIW,0.52798
47.0,117.0,4.5,10.9,C4,2.0,0.0,0,Z-ILV,0.04002
50.1,95.0,-0.2,-7.5,C1,1.0,1.0,0,Z-KDB,-0.24994
48.9,74.0,-0.1,,C3,4.0,0.0,0,Z-IDT,0.32161
52.9,,-1.6,1.0,C1,1.0,0.0,1,Z-ZNX,-1.09142
61.4,127.0,,14.8,C5,2.0,0.0,0,Z-VUC,-1.09683
50.9,111.0,0.3,-5.5,C2,3.0,0.0,0,Z-VGZ,0.59565
55.3,92.0,4.0,3.5,,4.0,0.0,1,Z-ASA,-0.76704
33.7,89.0,3.8,2.4,C5,,1.0,1,Z-GZU,0.70251
49.8,89.0,-3.5,-0.9,C3,4.0,1.0,1,Z-VRB,1.12884
43.4,122.0,0.3,0.7,C3,3.0,0.0,0,,1.4158
40.4,130.0,3.1,2.6,C2,4.0,0.0,0,Z-ZJC,1.16211
43.1,,5.8,6.8,C3,2.0,0.0,0,,
47.5,98.0,4.6,2.0,C1,3.0,0.0,1,Z-BHS,
57.5,139.0,6.5,1.9,C2,1.0,0.0,0,Z-IAH,-0.00989
39.5,90.0,-2.0,-1.5,C2,3.0,0.0,1,Z-YFB,1.05929
50.4,64.0,4.4,0.0,C2,,0.0,1,Z-SVZ,-0.28433
46.3,117.0,-1.6,-3.5,C1,4.0,1.0,1,,1.34942
47.5,80.0,-3.2,-10.5,C4,4.0,0.0,0,Z-JIF,0.16821
58.2,119.0,-3.2,-4.2,C1,3.0,0.0,1,Z-DIP,1.34086
54.5,81.0,-4.4,-9.4,C2,3.0,,0,Z-IQW,0.1341
60.9,140.0,1.3,-0.6,C3,4.0,0.0,0,Z-VSY,
48.9,87.0,5.6,-1.3,C1,4.0,0.0,1,Z-MDN,-1.05253
44.6,115.0,0.6,-1.2,C1,1.0,0.0,1,,-0.36998
48.4,92.0,-2.4,0.1,C1,3.0,0.0,1,,1.5808
52.1,91.0,4.9,0.2,C1,5.0,1.0,1,Z-JVW,1.53155
51.6,114.0,5.2,-1.0,C4,2.0,0.0,0,Z-JHN,-2.32514
41.5,57.0,-0.6,,C2,3.0,,0,Z-GAY,2.36529
50.9,150.0,-0.9,1.5,C2,2.0,,1,Z-MDC,1.73298
52.0,108.0,4.5,4.1,C1,4.0,0.0,1,Z-JQM,-0.70489
70.3,119.0,5.7,1.4,C2,4.0,0.0,0,Z-EMF,0.75259
65.2,115.0,4.3,-0.5,C1,5.0,0.0,0,Z-DBK,0.94404
43.3,89.0,1.7,-1.6,C1,4.0,0.0,1,Z-JHX,-2.49433
47.9,123.0,2.7,0.5,C2,3.0,0.0,1,Z-JHN,-0.15117
38.4,57.0,0.5,-8.5,C3,3.0,1.0,0,Z-IJA,
45.4,82.0,3.6,-2.6,C1,4.0,0.0,1,Z-OHV,-0.19223
52.7,103.0,0.9,4.4,C1,4.0,0.0,1,Z-MVQ,-1.37726
59.8,158.0,-2.3,-2.7,C3,1.0,0.0,0,Z-MOW,-0.12986
44.3,118.0,0.8,4.3,C1,2.0,0.0,1,Z-HZS,0.5502
44.9,,5.3,7.4,C1,4.0,0.0,0,Z-NBQ,0.41738
33.0,72.0,-1.7,,C5,1.0,1.0,1,Z-QGJ,-1.0887
48.9,137.0,7.1,3.4,,4.0,0.0,0,Z-XFF,2.31699
41.7,120.0,5.4,7.3,C3,5.0,0.0,0,Z-HOL,-1.06685
,112.0,6.6,7.4,C4,2.0,,0,Z-WYA,-0.62916
43.1,110.0,-2.2,0.7,C1,2.0,1.0,1,Z-OSK,0.52367
49.4,83.0,4.1,1.9,C2,5.0,1.0,1,Z-CAV,-0.51354
36.1,126.0,0.4,-0.7,C2,3.0,1.0,1,Z-BLK,-0.5733
38.4,74.0,-1.7,-4.2,C1,4.0,1.0,0,Z-TIU,-0.53503
67.2,144.0,-1.0,-2.7,C1,,1.0,0,Z-WHB,-0.12633
39.9,101.0,6.1,0.8,C5,2.0,1.0,1,Z-UMI,
41.4,49.0,0.8,-1.2,C1,1.0,,0,Z-BOL,-0.29759
64.9,124.0,0.1,-2.2,C4,3.0,0.0,0,Z-XCH,-0.55394
73.4,145.0,4.9,0.7,C2,5.0,1.0,0,,-1.15889
40.8,82.0,2.2,3.7,C3,3.0,0.0,0,Z-KHW,0.20718
47.2,94.0,0.7,-7.0,C2,1.0,1.0,0,,0.57886
52.9,,4.6,3.9,C2,1.0,1.0,0,Z-YQJ,-0.84825
64.0,101.0,-1.6,-6.9,C2,4.0,0.0,1,Z-UCP,
42.3,53.0,,-3.9,C2,1.0,0.0,0,,0.36837
,81.0,5.0,-0.5,C4,2.0,1.0,1,Z-FJL,-0.60207
56.4,131.0,2.3,2.4,C4,4.0,0.0,0,Z-MOQ,-0.8216
53.6,129.0,-0.1,-11.3,C1,2.0,0.0,1,Z-CRD,0.70895
,112.0,-0.9,,C1,3.0,0.0,1,Z-NYZ,1.26937
49.1,123.0,5.3,3.2,C4,2.0,1.0,0,Z-USM,-0.35431
39.2,89.0,-4.0,-9.2,C1,2.0,0.0,0,Z-KCQ,-2.03331
48.3,83.0,2.7,1.5,C4,2.0,0.0,1,Z-CJR,0.43055
48.0,71.0,,-3.7,C1,3.0,1.0,0,Z-RRB,-1.55718
52.0,69.0,-0.6,-2.3,C1,2.0,0.0,0,Z-ABI,1.84969
45.7,87.0,3.8,-3.6,C1,5.0,1.0,1,Z-NAF,0.26463
53.9,128.0,5.0,11.4,C1,2.0,,0,Z-UMS,0.63046
58.3,120.0,3.8,,C3,4.0,1.0,0,Z-WKI,0.2696
51.4,103.0,-3.0,-3.1,C2,2.0,1.0,1,Z-EJP,0.99027
53.0,77.0,-3.0,-8.3,C5,2.0,1.0,1,Z-MSZ,0.6981
50.6,171.0,0.6,-2.2,C2,3.0,0.0,1,Z-LXF,0.42422
50.2,78.0,2.8,,C3,4.0,0.0,0,Z-BYF,0.21478
44.4,94.0,6.3,5.0,C3,,0.0,0,Z-VQZ,-1.54227
52.7,132.0,6.4,5.7,C1,2.0,0.0,0,Z-EMH,0.6527
49.4,100.0,6.6,5.1,C4,4.0,0.0,1,Z-CKJ,-0.29334
66.9,107.0,1.4,1.0,C2,2.0,0.0,0,Z-KQB,0.24896
62.8,143.0,1.3,-1.2,C2,5.0,0.0,0,Z-PBS,0.93862
53.2,69.0,3.0,2.5,C2,1.0,0.0,1,Z-MMH,-0.85235
44.1,137.0,2.8,-1.8,C2,4.0,1.0,1,Z-HXD,-0.79568
41.3,93.0,4.4,-2.3,C1,3.0,0.0,0,Z-VDW,0.80294
59.7,110.0,-1.2,5.2,C1,2.0,1.0,0,Z-PAZ,-0.73305
52.3,66.0,-2.7,-2.2,C5,1.0,0.0,1,Z-PCH,-0.50555
54.0,76.0,3.7,9.3,C4,5.0,0.0,1,Z-BFA,-0.45948
,75.0,-1.1,-3.7,C4,2.0,0.0,0,Z-EOT,0.60384
,164.0,-1.6,7.2,C3,2.0,0.0,0,Z-QRZ,-0.31163
53.8,113.0,3.5,1.8,C3,2.0,0.0,0,Z-HWZ,
41.3,95.0,5.4,8.0,C4,2.0,0.0,1,Z-LTH,1.33251
46.4,104.0,4.9,2.8,C2,3.0,0.0,0,Z-NGD,0.52988
52.3,168.0,4.6,3.1,C4,3.0,1.0,0,Z-VGH,0.47448
50.6,89.0,4.9,2.2,,5.0,0.0,1,Z-UTG,-0.07183
47.8,139.0,-4.1,-7.3,C2,2.0,0.0,1,Z-MGJ,-0.41938
49.3,88.0,2.1,4.4,C2,4.0,1.0,1,Z-SQJ,-1.51162
48.1,78.0,3.2,1.2,C1,5.0,0.0,1,Z-LNJ,-0.2309
51.4,100.0,,0.6,C1,1.0,1.0,1,Z-QIA,1.07195
61.9,118.0,4.7,6.4,C5,4.0,0.0,0,Z-OVQ,1.83009
29.6,81.0,3.8,7.7,C2,2.0,1.0,1,Z-GRA,-0.59086
,35.0,-6.5,-5.5,C1,3.0,0.0,0,Z-BDP,-0.00216
51.6,107.0,4.9,-3.7,C5,1.0,1.0,1,,0.48564
52.5,88.0,5.9,2.2,C5,2.0,0.0,1,Z-VWP,0.28366
47.2,76.0,-0.9,-2.5,C3,1.0,1.0,0,Z-GGZ,-0.42137
36.1,42.0,4.4,2.3,C1,2.0,0.0,1,Z-RGA,-2.38636
52.8,95.0,,7.8,C1,1.0,0.0,0,Z-BJL,-0.48569
64.0,110.0,1.4,4.4,C4,5.0,0.0,0,Z-JLV,
37.9,68.0,3.0,0.4,C1,5.0,0.0,1,Z-TQX,-0.35554
57.1,68.0,3.0,11.3,C1,4.0,0.0,1,Z-TTI,-0.19223
47.5,,2.0,,C1,2.0,1.0,0,Z-QAF,-0.73752
49.7,78.0,5.3,1.9,C3,5.0,1.0,1,Z-IKD,0.19267
41.7,42.0,7.2,0.0,C2,5.0,0.0,1,Z-ZBK,-0.69688
47.5,81.0,,-6.4,C4,4.0,1.0,0,Z-JZR,-1.44718
60.6,97.0,0.5,,C4,4.0,1.0,1,Z-TYR,0.33268
54.8,109.0,1.9,4.3,C5,2.0,1.0,1,Z-NWI,-0.11184
,109.0,,5.3,C1,5.0,1.0,0,Z-GNH,0.36969
59.6,77.0,1.1,-4.4,C2,3.0,,1,Z-WJF,0.96855
53.7,82.0,,,C3,3.0,1.0,1,Z-AXR,-1.54352
64.1,77.0,3.6,4.9,C5,2.0,0.0,1,,-0.28697
53.7,,2.1,-8.4,C1,1.0,1.0,0,Z-LZP,-1.30037
56.8,328.0,1.1,6.8,C1,5.0,,0,Z-RJD,0.17268
47.8,135.0,2.8,,C3,3.0,0.0,0,Z-IEZ,-1.37684
50.7,85.0,5.7,6.8,C3,4.0,,0,Z-QJR,-2.68411
44.6,,0.1,3.5,C1,1.0,0.0,0,Z-NJV,1.2419
58.1,125.0,6.4,-4.7,C2,3.0,0.0,0,Z-ICB,-1.13509
40.7,62.0,-0.3,-2.8,C2,2.0,0.0,0,Z-JZI,-0.59828
56.4,94.0,1.2,4.8,C2,4.0,1.0,1,Z-XSW,0.33577
48.6,93.0,3.5,1.4,C1,3.0,1.0,1,Z-BAP,0.8476
59.5,119.0,-1.5,0.2,C3,2.0,0.0,0,Z-WTP,0.10102
56.2,299.0,-3.1,1.8,C1,1.0,0.0,1,Z-BZM,-0.42996
64.7,125.0,6.3,6.9,C1,2.0,1.0,0,Z-PKB,1.88275
56.0,101.0,4.1,0.9,C2,2.0,0.0,0,Z-JZN,-0.34176
37.6,116.0,1.4,2.1,C1,4.0,1.0,1,Z-JJR,-0.92585
49.6,96.0,,-4.9,C3,4.0,1.0,0,,0.1991
40.8,80.0,4.4,4.3,C2,2.0,0.0,1,Z-ZER,-0.67763
46.0,88.0,-3.1,-1.2,C2,3.0,0.0,0,Z-EKL,0.26841
62.3,118.0,4.7,3.2,C1,5.0,1.0,0,Z-WUA,-0.95766
55.3,72.0,-3.3,0.4,C1,,,1,Z-ERA,0.37832
44.6,64.0,-0.9,-1.2,C3,3.0,0.0,0,Z-NZY,-1.68377
42.0,153.0,4.9,3.3,C1,,0.0,1,Z-GAD,
50.4,56.0,1.4,7.4,C1,3.0,1.0,1,Z-WKI,0.64425
40.4,91.0,3.4,-2.7,C3,2.0,1.0,0,Z-TJG,0.14865
44.8,101.0,2.9,6.8,,2.0,0.0,0,Z-YAK,-0.07372
52.7,132.0,6.3,9.5,C2,2.0,1.0,0,Z-TAY,2.21504
59.4,126.0,-1.1,1.0,,3.0,1.0,0,Z-PIR,0.01503
55.0,160.0,1.1,-2.3,C1,2.0,1.0,0,Z-MLY,-0.80664
